rank,iter,obj_local
0,1,96873650.78125
0,2,96871453.515625
0,3,96863641.015625
0,4,96867791.40625
0,5,96870476.953125
0,6,96883660.546875
0,7,96892449.609375
0,8,96898064.84375
0,9,96896111.71875
0,10,96895867.578125
0,11,97564608.125
0,12,98984466.203125
0,13,102472130.0
0,14,111535974.31250001
0,15,122014122.10937501
0,16,131139550.50000001
0,17,139556566.28125003
0,18,145575475.34375003
0,19,150396165.06250003
0,20,157914277.90625003
0,21,166319453.65625003
0,22,175269387.46875003
0,23,182937605.84375003
0,24,188052647.25000003
0,25,193984825.75000003
0,26,200735117.90625003
0,27,206396870.50000003
0,28,212942268.03125003
0,29,218808426.96875003
0,30,226170473.31250003
0,31,234006375.34375003
0,32,243326201.89062503
0,33,249714902.09375003
0,34,256163030.06250003
0,35,261928745.60937506
0,36,268038474.98437506
0,37,272453769.98437506
0,38,275241138.45312506
0,39,275516691.31250006
0,40,274640370.59375006
0,41,274380442.73437506
0,42,275756253.90625006
0,43,276243049.04687506
0,44,278575848.93750006
0,45,280832619.50000006
0,46,283160780.71875006
0,47,286372342.73437506
0,48,289511049.25000006
0,49,291350950.48437506
0,50,291691058.06250006
0,51,291275409.43750006
0,52,290515502.84375006
0,53,289482484.79687506
0,54,289127972.92187506
0,55,289183738.57812506
0,56,289921428.37500006
0,57,290864989.35937506
0,58,291400470.07812506
0,59,292483394.40625006
0,60,294047010.35937506
0,61,295133596.79687506
0,62,295947804.20312506
0,63,296221648.07812506
0,64,296292062.17187506
0,65,295888620.57812506
0,66,295620391.93750006
0,67,295144827.26562506
0,68,294738700.12500006
0,69,294468518.35937506
1,1,72694365.28437501
1,2,72692656.30000001
1,3,72690703.17500001
1,4,72688994.19062501
1,5,72686552.78437501
1,6,72687041.06562501
1,7,72686308.64375001
1,8,72689238.33125001
1,9,72689726.61250001
1,10,72688261.76875001
1,11,72689238.33125001
1,12,72694609.42500001
1,13,72692412.15937501
1,14,72696074.26875001
1,15,72696806.69062501
1,16,72695097.70625001
1,17,72696806.69062501
1,18,72696562.55000001
1,19,72692412.15937501
1,20,72693388.72187501
1,21,72696074.26875001
1,22,72701201.22187501
1,23,72699248.09687501
1,24,72700224.65937501
1,25,72700468.80000001
1,26,72703886.76875001
1,27,72702177.78437501
1,28,72695097.70625001
1,29,72690703.17500001
1,30,72686308.64375001
1,31,72686308.64375001
1,32,72688505.90937501
1,33,72689726.61250001
1,34,72690214.89375001
1,35,72693877.00312501
1,36,72696806.69062501
1,37,72697539.11250001
1,38,72697050.83125001
1,39,72694853.56562501
1,40,72690703.17500001
1,41,72689238.33125001
1,42,72690703.17500001
1,43,72689726.61250001
1,44,72688750.05000001
1,45,72689238.33125001
1,46,72689238.33125001
1,47,72689238.33125001
1,48,72689238.33125001
1,49,72689238.33125001
1,50,72689238.33125001
1,51,72689238.33125001
1,52,72689238.33125001
1,53,72689238.33125001
1,54,72689238.33125001
1,55,72689238.33125001
1,56,72689238.33125001
1,57,72689238.33125001
1,58,72689238.33125001
1,59,72689238.33125001
1,60,72689238.33125001
1,61,72689238.33125001
1,62,72689238.33125001
1,63,72689238.33125001
1,64,72689238.33125001
1,65,72689238.33125001
1,66,72689238.33125001
1,67,72689238.33125001
1,68,72689238.33125001
1,69,72689238.33125001
1,70,72689238.33125001
1,71,72689238.33125001
2,1,127603890.78125
2,2,127602914.21875
2,3,127597054.84375
2,4,127589730.625
2,5,127579965.0
2,6,127577035.3125
2,7,127571420.078125
2,8,127577279.453125
2,9,127576547.03125
2,10,127579965.0
2,11,127591439.609375
2,12,127591927.890625
2,13,127600472.8125
2,14,127604623.203125
2,15,127604379.0625
2,16,127608285.3125
2,17,127606332.1875
2,18,127606332.1875
2,19,127607308.75
2,20,127610726.71875
2,21,127605111.484375
2,22,127603890.78125
2,23,127606576.328125
2,24,127615609.53125
2,25,127619271.640625
2,26,127623910.3125
2,27,127629281.40625
2,28,127641488.4375
2,29,127659066.5625
2,30,127675179.84375
2,31,127689095.859375
2,32,127701058.75
2,33,127718881.015625
2,34,127731820.46875
2,35,127743050.9375
2,36,127743050.9375
2,37,127743050.9375
2,38,127743050.9375
2,39,127743050.9375
2,40,127743050.9375
2,41,127743050.9375
2,42,127743050.9375
2,43,127743050.9375
2,44,127743050.9375
2,45,127743050.9375
2,46,127743050.9375
2,47,127743050.9375
2,48,127743050.9375
2,49,127743050.9375
2,50,127743050.9375
2,51,127743050.9375
2,52,127743050.9375
2,53,127743050.9375
2,54,127743050.9375
2,55,127743050.9375
2,56,127743050.9375
2,57,127743050.9375
2,58,127743050.9375
2,59,127743050.9375
2,60,127743050.9375
2,61,127743050.9375
2,62,127743050.9375
2,63,127743050.9375
2,64,127743050.9375
2,65,127743050.9375
2,66,127743050.9375
2,67,127743050.9375
2,68,127743050.9375
3,1,51332978.765625
3,2,51331269.78125
3,3,51327363.53125
3,4,51323457.28125
3,5,51317353.765625
3,6,51316621.34375
3,7,51314424.078125
3,8,51318818.609375
3,9,51319795.171875
3,10,51317109.625
3,11,51319795.171875
3,12,51328095.953125
3,13,51334687.75
3,14,51339082.28125
3,15,51339570.5625
3,16,51342988.53125
3,17,51342256.109375
3,18,51338349.859375
3,19,51336396.734375
3,20,51335420.171875
3,21,51336396.734375
3,22,51332734.625
3,23,51331758.0625
3,24,51331269.78125
3,25,51335420.171875
3,26,51333222.90625
3,27,51330293.21875
3,28,51326142.828125
3,29,51327363.53125
3,30,51328340.09375
3,31,51330781.5
3,32,51329804.9375
3,33,51327607.671875
3,34,51328340.09375
3,35,51331513.921875
3,36,51329560.796875
3,37,51331758.0625
3,38,51328584.234375
3,39,51324922.125
3,40,51326386.96875
3,41,51330781.5
3,42,51333955.328125
3,43,51337373.296875
3,44,51334687.75
3,45,51334443.609375
3,46,51334443.609375
3,47,51336152.59375
3,48,51335664.3125
3,49,51337373.296875
3,50,51338349.859375
3,51,51339570.5625
3,52,51340547.125
3,53,51340058.84375
3,54,51339814.703125
3,55,51338349.859375
3,56,51340302.984375
3,57,51342011.96875
3,58,51342988.53125
3,59,51346162.359375
3,60,51347627.203125
3,61,51350801.03125
3,62,51355683.84375
3,63,51355683.84375
3,64,51355683.84375
3,65,51355683.84375
3,66,51355683.84375
3,67,51355683.84375
3,68,51355683.84375
3,69,51355683.84375
3,70,51355683.84375
3,71,51355683.84375
3,72,51355683.84375
3,73,51355683.84375
3,74,51355683.84375
4,1,199442009.328125
4,2,199439323.78125
4,3,199408073.78125
4,4,199376579.640625
4,5,199338005.421875
4,6,199344353.078125
4,7,199330437.0625
4,8,199350700.734375
4,9,199346062.0625
4,10,199326530.8125
4,11,199334099.171875
4,12,199389030.8125
4,13,199388298.390625
4,14,199437614.796875
4,15,199500358.9375
4,16,199543327.6875
4,17,199553825.734375
4,18,199572380.421875
4,19,199584831.59375
4,20,199606071.828125
4,21,199629997.609375
4,22,199631218.3125
4,23,199623161.671875
4,24,199617058.15625
4,25,199623405.8125
4,26,199618767.140625
4,27,199608513.234375
4,28,199598503.46875
4,29,199599724.171875
4,30,199606560.109375
4,31,199618034.71875
4,32,199623894.09375
4,33,199624382.375
4,34,199630730.03125
4,35,199636101.125
4,36,199635124.5625
4,37,199633659.71875
4,38,199626579.640625
4,39,199619255.421875
4,40,199620476.125
4,41,199622185.109375
4,42,199624870.65625
4,43,199626335.5
4,44,199622917.53125
4,45,199623405.8125
4,46,199626091.359375
4,47,199631950.734375
4,48,201798888.815625
4,49,206302739.03125
4,50,213805819.46875
4,51,220639990.02187502
